attack_type,country,area,activity,sex,injury,fatal,time,species,age,year,month
Unprovoked,AUSTRALIA,New South Wales,Walking,M,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m",35,2018,February
Invalid,AUSTRALIA,Queensland,Swimming,F,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong,not declared,2018,February
Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,Lacerations to 4 toes of right foot,N,unknown,"Injury believed caused by an eel, not a shark",46,2018,February
Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,Injuries to right foot,N,unknown,Galapagos shark?,45,2018,February
Invalid,AUSTRALIA,Western Australia,Spearfishing,M,"No injury no attack. This is considerd an ""encounter""",N,unknown,2m shark,14,2018,February
Unprovoked,AUSTRALIA,Western Australia,unknown,M,Injuries to right leg,N,08h00,Bull shark,18,2018,January
Unprovoked,NEW CALEDONIA,unknown,Spearfishing,M,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",40,2018,January
Unprovoked,AUSTRALIA,Queensland,Diving,M,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,not declared,2018,January
Unprovoked,AUSTRALIA,New South Wales,Free diving,M,"No injury, shark took his swimfin",N,unknown,"White shark, 3.5 m",28,2018,January
Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,Minor injury to left forearm,N,Late afternoon,small shark,20,2018,January
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Foot bitten,N,unknown,Wobbegong shark?,not declared,2018,January
Unprovoked,USA,Hawaii,Surfing,F,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,54,2017,December
Unprovoked,USA,California,Surfing,F,Foot bitten,N,12h00,unknown,35,2017,December
Provoked,MALAYSIA,Sepang,Fishing / Wading,M,"Minor injury to thigh, PROVOKED INCIDENT",N,unknown,Juvenile nurse shark,24,2017,December
Unprovoked,BAHAMAS,unknown,Snorkeling,F,Minor injury to arm,N,unknown,Nurse shark. 5',25,2017,December
Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,M,Serious injury to leg,N,unknown,"Tiger shark, female",26,2017,November
Unprovoked,COSTA RICA,Cocos Island,Scuba diving,F,FATAL,Y,unknown,"Tiger shark, female",49,2017,November
Sea Disaster,LIBYA,unknown,2 boats capsized,not declared,FATAL,Y,unknown,Some drowned but other may have been killed by blue sharks,not declared,2017,November
Unprovoked,USA,California,Spearfishing,M,Right leg bitten,N,13h45,"White shark, 4.6 m",25,2017,November
Unprovoked,USA,Florida,Surfing,F,Heel bitten,N,Late afternoon,unknown,14,2017,November
Unprovoked,unknown,unknown,Surfing,M,Puncture wounds to feet,N,unknown,unknown,24,2017,November
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Puncture wounds to left shoulder,N,16h00,2 m shark,25,2017,November
Unprovoked,CUBA,Holquin Province,Night bathing,M,FATAL,Y,23h30,Tiger shark,22,2017,November
Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,Calf injured,N,unknown,Cookiecutter shark,7,2017,October
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m",31,2017,October
Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,No injury but shark bit SUP,N,15h00,unknown,not declared,2017,October
Unprovoked,MAURITIUS,Pamplemousses ,Swimming,M,Minor injury to foot,N,Afternoon,unknown,not declared,2017,October
Unprovoked,USA,Florida,Surfing ,M,Lacerations to left foot,N,17h00,unknown,17,2017,October
Unprovoked,USA,Florida,Swimming,F,Severe lacerations to left hand & wrist,N,08h00,unknown,60,2017,October
Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,F,Minor injuries,N,Afternoon,"White shark, 4.5 m",15,2017,October
Unprovoked,NEW ZEALAND,North Island,Kayaking,M,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,not declared,2017,October
Unprovoked,USA,Florida,Swimming,M,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet",not declared,2017,October
Unprovoked,USA,Hawaii,Surfing,M,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet",54,2017,October
Unprovoked,USA,Hawaii,Snorkeling,F,Abrasions,N,12h30,8' shark,40,2017,October
Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,FATAL,unknown,unknown,Death may have been due to drowning,31,2017,October
Unprovoked,USA,Florida,Surfing,M,Lacerations to lower left leg and foot,N,Morning,5' shark,not declared,2017,September
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m",not declared,2017,September
Invalid,USA,New York,Surfing,M,"Lacerations to right ankle, foot & toe",unknown,15h30,Questionable,33,2017,September
Unprovoked,USA,Florida,Surfing,M,Laceration to upper arm,N,14h00,4' to 5' shark,not declared,2017,September
Unprovoked,USA,Florida,Surfing,M,Minor lacerations to sole of left foot,N,Morning,unknown,not declared,2017,September
Unprovoked,SPAIN,Canary Islands,Body surfing,M,Lacerations to right foot,N,unknown,"Porbeagle, 1.5 m",13,2017,September
Unprovoked,USA,Florida,Surfing,M,Lacerations to left foot,N,16h30,unknown,28,2017,September
Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,"FATAL, but death was probably due to drowning",unknown,Afternoon,unknown,25,2017,September
unknown,SAMOA, Upolu Island,Fishing,M,Injuries to hands and legs,N,Night,unknown,not declared,2017,September
Boating,AUSTRALIA,Westerm Australia,Fishing,not declared,"sharks rammed boats, no injury to occupants",N,unknown,"White shark, 3.5m",not declared,2017,unknown
Unprovoked,USA,Florida,Surfing,M,Lacerations to left foot,N,18h45,5' to 6' shark,18,2017,September
Unprovoked,AUSTRALIA,Westerm Australia,Swimming,M,Minor injuries,N,15h00,unknown,not declared,2017,September
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ",35,2017,September
Unprovoked,SOLOMON ISLANDS,unknown,Spearfishing,M,Foot bitten,N,unknown,unknown,not declared,2017,September
Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",M,FATAL,Y,Morning,unknown,not declared,2017,September
Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,Injury to ankle & feet,N,10h00,unknown,42,2017,September
Unprovoked,USA,Florida,Swimming,M,Lacerations to abdomen,N,unknown,Nurse shark,not declared,2017,September
Unprovoked,USA,Texas,Swimming,F,Lacerations to foot,N,unknown,unknown,not declared,2017,September
Unprovoked,USA,Florida,Surfing,M,Minor injury to right hand,N,10h44,unknown,17,2017,September
Unprovoked,AUSTRALIA,Victoria,Surfing,M,"No injury, board bitten",N,10h30,"White shark, 3 m",37,2017,August
Unprovoked,USA,Florida,Wading,F,Leg injured,N,13h19,unknown,3,2017,August
Invalid,SPAIN,Castellón,Swimming,F,Lacerations to left foot,unknown,Midday,Shark involvement questionable,11,2017,August
Unprovoked,NEW ZEALAND,North Island,Canoeing,M,"No injury, shark bit canoe",N,unknown,unknown,not declared,2017,August
Unprovoked,USA,Massachusetts,SUP,M,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'",69,2017,August
Unprovoked,BAHAMAS,unknown,Spearfishing,M,Hand injured,N,15h00,5' shark,not declared,2017,August
Unprovoked,USA,South Carolina,Swimming,M,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,13,2017,August
Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,Bite to right leg/hip,N,unknown,"Oceanic whitetip shark, 1.8 to 2 m",20,2017,August
Provoked,USA,Massachusetts,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark,34,2017,August
Boating,USA,California,Kayaking / Fishing,M,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'",not declared,2017,August
Unprovoked,USA,Florida,Skimboarding,M,Lacerations to lower leg,N,18h30,unknown,15,2017,July
Invalid,USA,South Carolina,Swimming,M,Abrasions and cuts to sole of foot,unknown,15h00,A small shark,10,2017,July
Unprovoked,USA,South Carolina,unknown,F,Bite to left thigh / minor injury,N,Afternoon,unknown,12,2017,July
Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,Foot & ankle injured,N,unknown,unknown,not declared,2017,July
Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,Severe lacerations to left hand,N,unknown,unknown,not declared,2017,July
Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,Torso bitten,N,17h00,unknown,37,2017,July
Unprovoked,USA,New Jersey,unknown,F,Minor injury to hand,N,unknown,Sandtiger shark  2',not declared,2017,July
Unprovoked,SPAIN,Majorca,Swimming,F,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',not declared,2017,July
Unprovoked,USA,Florida,unknown,F,Foot bitten,N,12h30,"""A small shark""",40,2017,July
Invalid,USA,South Carolina,Swimming,F,Foot injured,unknown,unknown,Shark involvement not confirmed,8,2017,July
Boating,USA,California,Kayaking,M,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'",40,2017,July
Unprovoked,USA,California,SUP,M,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",50,2017,July
Unprovoked,USA,Washington,Surfing,M,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",not declared,2017,July
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"Minor injury, grazed by shark",N,11h45,unknown,not declared,2017,July
Boating,USA,California,Kayaking,M,"No injury, kayak bitten",N,11h00,White shark,not declared,2017,July
Unprovoked,USA,Florida,Swimming,M,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'",46,2017,July
Provoked,MEXICO,Tabasco,Fishing,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,unknown,"Tiger shark, 100 kg",32,2017,July
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m",13,2017,July
Invalid,COMOROS,Anjouan,Fishing,not declared,"Skull found in shark, a probable drowning & scavenging",unknown,unknown,Shark involvement prior to death not confirmed,not declared,2017,July
Invalid,USA,South Carolina,Fishing,M,"Arm injured by hook, not by a shark",unknown,19h30,No shark invovlement ,not declared,2017,June
Unprovoked,USA,South Carolina,Swimming,F,Left foot bitten,N,unknown,unknown,16,2017,June
Unprovoked,USA,Florida,Surfing,M,1 to 2-inch laceration behind knee,N,Morning,unknown,not declared,2017,June
Unprovoked,USA,South Carolina,Swimming,F,Leg bitten,N,unknown,"Bull shark, 4' to 5'",14,2017,June
Unprovoked,REUNION,unknown,Body boarding,M,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m",34,2017,June
Unprovoked,SPAIN,Ibiza Island,Swimming,M,2-inch laceration to hand,N,12h00,unknown,82,2017,June
Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,Injuries to hand and wrist,N,unknown,unknown,not declared,2017,unknown
Unprovoked,BAHAMAS,unknown,Feeding sharks,F,Fingernail pulled off ,N,unknown,unknown,not declared,2017,June
Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,"No injury, board bitten",N,08h30,"White shark, 4 m",48,2017,June
Unprovoked,AUSTRALIA,Victoria,Surfing,F,"No injury, knocked off board",N,15h45,Seven-gill shark,not declared,2017,June
Unprovoked,USA,Florida,Surfing,M,Laceration to left foot,N,10h00,unknown,19,2017,June
Unprovoked,UNITED KINGDOM,South Devon,Surfing ,M,"Bruise to leg, cuts to hand sustained when he hit the shark",N,unknown,"3m shark, probably a smooth hound",30,2017,June
Unprovoked,USA,Florida,Spearfishing,M,Laceration to shin,N,unknown,8' shark,not declared,2017,June
Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,Right forearm severed ,N,Shortly before 12h00,Tiger shark,32,2017,June
Provoked,USA,South Carolina,Touching a shark,F,Right hand bitten by hooked shark PROVOKED INCIDENT,N,unknown,3' shark,20,2017,May
Unprovoked,USA,Florida,Feeding sharks,M,Lacerations to right arm,N,Morning,Tiger shark,not declared,2017,May
Invalid,AUSTRALIA,New South Wales,Fishing ,M,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,unknown,unknown,73,2017,May
Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,M,Right leg severely bitten,N,Morning,unknown,41,2017,May
Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,M,Thigh nipped PROVOKED INCIDENT,N,unknown,9' shark,29,2017,May
Unprovoked,MEXICO,Baja California Sur,Snorkeling,M,FATAL,Y,17h00,unknown,33,2017,May
Invalid,USA,California,Surfing,F,"Laceration to thigh, likely caused by surfboard fin",unknown,14h30,Shark involvement highly doubtful,18,2017,May
Unprovoked,USA,California,Swimming,F,Major injury to posterior thigh,N,17h34,unknown,not declared,2017,April
Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Minor injury to right calf,N,17h10,unknown,14,2017,April
Unprovoked,USA,South Carolina,Surfing,F,Left foot bitten,N,11h00,unknown,33,2017,April
Unprovoked,REUNION,Saint-Leu,Body boarding,M,FATAL,Y,11h15,unknown,28,2017,April
Unprovoked,NEW ZEALAND,South Island,Body boarding,F,Puncture wounds & laceration above knee,N,14h00,unknown,20,2017,April
Invalid,USA,Florida,Photo shoot,F,Alleged laceration to left ankle,unknown,unknown,No shark invovlement - it ws a publicity stunt,not declared,2017,April
Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,F,Calf & foot bitten,N,16h00,unknown,40,2017,April
Invalid,USA,South Carolina,Swimming,M,Laceration & puncture wounds to left foot,unknown,08h50,Shark involvement not confirmed,not declared,2017,April
Unprovoked,USA,Florida,unknown,not declared,Minor bite to the foot,N,Afternoon,unknown,not declared,2017,April
Unprovoked,AUSTRALIA,Western Australia,Surfing,F,FATAL,Y,16h00,White shark,17,2017,April
Unprovoked,USA,Hawaii,Surfing,M,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",28,2017,April
Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,13h30,unknown,17,2017,April
Unprovoked,USA,Florida,Surfing,F,Lacerations to right foot,N,13h45,unknown,not declared,2017,April
Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",unknown,unknown,Shark involvement prior to death not confirmed,68,2017,April
Unprovoked,USA,Florida,Surfing,F,Calf bitten,N,16h00,unknown,35,2017,April
Unprovoked,USA,Florida,Paddle boarding,F,Laceration to calf,N,17h45,unknown,10,2017,April
Unprovoked,USA,Florida,Swimming,F,Minor injury to left hand,N,17h00,unknown,21,2017,April
Unprovoked,USA,Florida,Swimming,M,Foot injured,N,unknown,unknown,16,2017,April
Unprovoked,USA,Florida,Swimming,F,"Thigh nipped, minor injury",N,13h00,unknown,51,2017,April
Unprovoked,AUSTRALIA,Queensland,Kakaying,M,"No injury, shark bit off stern of kayak",N,Afternoon,unknown,39,2017,April
Unprovoked,USA,Florida,Swimming,F,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",17,2017,April
Unprovoked,USA,Florida,Surfing,M,Minor injury to left foot,N,10h00,unknown,58,2017,March
Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,Minor,N,18h30,unknown,30,2017,March
Boating,USA,California,Kayaking,M,"No injury, kayak bitten",N,14h30,White shark,not declared,2017,March
Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,M,Right thigh injured ,N,unknown,10' shark,25,2017,March
Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,Abrasions & lacerations to left leg and hand,N,unknown,Lemon shark,58,2017,March
Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,Hand bitten,N,Morning,"Bull shark, 1.5",not declared,2017,February
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, shark struck board",N,Morning,unknown,not declared,2017,February
Unprovoked,REUNION,Saint-Andre,Body boarding,M,Fatal,Y,09h30,unknown,26,2017,February
Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Left leg severely bitten,N,10h20,unknown,26,2017,February
Unprovoked,USA,Florida,Swimming,M,Injury to hand,N,13h30,unknown,22,2017,February
Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup,not declared,2017,February
Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,"Shark damaged kayak, no injury to occupant",N,unknown,Tiger shark,not declared,2017,February
Boating,USA,South Carolina,Tagging sharks,not declared,"Shark bit boat, no injury to occupants",N,unknown,"White shark, female, 14'",not declared,2017,February
Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,Lacerations to upper right arm,N,unknown,Caribbean reef shark,37,2017,February
Unprovoked,BRAZIL,Pernambuco,Swimming,M,Minor laceration to ring finger,N,13h20,unknown,21,2017,January
Unprovoked,USA,Florida,unknown,M,Puncture wounds to lower arm or hand,N,14h00,unknown,not declared,2017,January
Unprovoked,AUSTRALIA,Queensland,Scuba Diving,M,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",55,2017,January
Unprovoked,AUSTRALIA,Queensland,Swimming,M,Injury to hand,N,13h30,unknown,57,2017,January
Unprovoked,USA,Florida,unknown,M,Minor injury to hand,N,Morning,unknown,not declared,2017,January
Unprovoked,INDONESIA,Bali,Surfing,M,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",48,2017,January
Invalid,AUSTRALIA,Queensland,Spearfishing,M,"No attack, shark made a threat display",unknown,unknown,Bull shark,35,2017,January
Unprovoked,USA,Florida,Wading,M,Minor injuries to foot,N,12h30,unknown,47,2017,January
Invalid,AUSTRALIA,New South Wales,Wading,M,Minor injuries to foot & toes,unknown,18h00,Shark involvement not confirmed,20,2017,January
Unprovoked,USA,Florida,Surfing,M,Lacerations to right forearm,N,17h00,unknown,16,2016,December
Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,Buttock bitten,N,Morning,a small shark,not declared,2016,December
Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",55,2016,December
Unprovoked,AUSTRALIA,Western Australia,Free diving,M,Punctures to left foot/ankle,N,09h30,unknown,61,2016,December
Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,M,Hand injured?,N,unknown,unknown,40,2016,December
Invalid,USA,Florida,Surfing,M,Cuts to right ankle & foot,unknown,Afternoon,Shark involvement not confirmed,19,2016,December
Provoked,AUSTRALIA,New South Wales,Surf fishing,M,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m",20,2016,December
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Injuries to foot & arm,N,09h00,White shark,65,2016,December
Provoked,AUSTRALIA,Victoria,Fishing,M,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m",73,2016,November
Unprovoked,USA,Hawaii,Floating,F,Injuries to right calf and thigh,N,10h30,Tiger shark,58,2016,November
Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot and ankle,N,Afternoon,unknown,41,2016,October
Unprovoked,USA,Florida,Surfing,M,Lacerations to right hand,N,Afternoon,unknown,42,2016,October
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Lacerations to left thigh,N,07h30,unknown,36,2016,October
Unprovoked,USA,Hawaii,Surfing,M,Left arm and leg injured,N,17h00, 6' to 8' shark,36,2016,October
Unprovoked,AUSTRALIA,Queensland,Surfing,M,Torso nipped,N,18h00,unknown,not declared,2016,October
Unprovoked,USA,Hawaii,Snorkeling,F,Injuries to left calf,N,09h50,unknown,66,2016,October
Invalid,MEXICO,unknown,Cage Diving,M,"Shark breached cage, no injury to diver",unknown,unknown,White shark,not declared,2016,October
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor wound to lower right leg & surfboard bitten,N,10h30,unknown,25,2016,October
Unprovoked,USA,Oregon,Surfing,M,Wounds to upper thigh and lower leg,N,16h00,unknown,29,2016,October
Unprovoked,USA,Florida,Surfing,M,Cuts to dorsal surface of left foot,N,11h30,unknown,21,2016,October
Unprovoked,USA,Florida,Surfng,M,Minor injuries,N,17h30,unknown,32,2016,October
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",17,2016,September
Unprovoked,USA,Florida,Surfing,M,Minor injury to thigh,N,13h00,unknown,16,2016,September
Unprovoked,USA,Florida,Surfing,M,Lacerations to hands,N,11h00,unknown,36,2016,September
Unprovoked,USA,Florida,Surfing,M,Lacerations to lower leg,N,10h43,unknown,43,2016,September
Unprovoked,USA,California,Surfing,M,"No injury, board bitten",N,After noon,unknown,43,2016,September
Unprovoked,AUSTRALIA,Victoria,Surfing,M,Struck by fin on chest & leg,N,unknown,unknown,not declared,2016,September
Unprovoked,AUSTRALIA,Victoria,Surfing,M,No injury: Knocked off board by shark,N,unknown,2 m shark,not declared,2016,September
Boating,AUSTRALIA,Western Australia,Fishing,not declared,Shark rammed boat. No injury to occupant,N,unknown,unknown,not declared,2016,September
Unprovoked,USA,Florida,Wading,M,Minor injury to arm,N,15h15,3' to 4' shark,60,2016,September
Unprovoked,USA,Hawaii,Swimming,F,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",51,2016,September
Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,FATAL,Y,15h40,unknown,50,2016,September
Unprovoked,USA,South Carolina,Boogie boarding,F,Lacerations & punctures to lower right leg,N,Late afternoon,unknown,12,2016,September
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No inury, board broken in half by shark",N,Late afternoon,unknown,not declared,2016,September
Unprovoked,USA,Florida,Body boarding,M,Foot bitten,N,unknown,unknown,9,2016,September
Unprovoked,USA,California,Spearfishing,M,Two toes broken & lacerated,N,unknown,"White shark, 8' to 10'",22,2016,September
Invalid,MEXICO,unknown,Cage Diving,not declared,"No injury to divers, white shark breached cage",unknown,unknown,Invalid,not declared,2016,unknown
Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,15h00,"Bull shark, 6'",25,2016,August
Unprovoked,USA,Florida,Surfing,M,Minor injury to ankle,N,14h00,unknown,37,2016,August
